,Lat,Lon,Name,Location,State
0,-134.1369,56.0014,Cape Decision Lighthouse, Kuiu Island, AK
1,-146.6466,60.2383,Cape Hinchinbrook Lighthouse, Hinchinbrook Island, AK
2,-136.64,58.1984,Cape Spencer Lighthouse, Cape Spencer, AK
3,-144.5983,59.7983,Cape St. Elias Lighthouse, Kayak Island, AK
4,-135.22,58.9717,Eldred Rock Lighthouse, Eldred Rock, AK
5,-133.6322,57.2698,Five Finger Lighthouse, Five Finger Islands, AK
6,-131.8817,55.4466,Guard Island Lighthouse, Guard Island, AK
7,-131.6594,55.3325,Lightship Umatilla, Ketchikan, AK
8,-131.1836,55.0985,Mary Island Lighthouse, Mary Island, AK
9,-145.76288,60.53714,Minor Light of Alaska-Odiak Pharos,,
10,-134.9559,58.4087,Point Retreat Lighthouse, Admiralty Island, AK
11,-135.1517,58.855,Point Sherman Light, Point Sherman, AK
12,-134.922605,58.546152,Sentinel Island Lighthouse, Sentinel Island, AK
13,-130.933,54.8032,Tree Point Lighthouse, Misty Fjords National Monument, AK
