,Lat,Lon,Name,Location,State
0,-158.1082,21.2995,Barbers Point Lighthouse, Barbers Point, HI
1,-154.8135,19.5195,Cape Kumukahi Light, Cape Kumukahi, HI
2,-157.8107,21.2585,Diamond Head Lighthouse, Diamond Head, HI
3,-155.7734,20.249,Kauhola Point Lighthouse, Kauhola Point, HI
4,-159.4049,22.2355,Kilauea Lighthouse, Kilauea Point, HI
5,-156.6813,20.875,Lahaina Lighthouse, Lahaina Harbor, HI
6,-157.6522,21.3125,Makapu'u Lighthouse, Makapu'u Head, HI
7,-156.9699,21.2091,Moloka'I Lighthouse, Kalaupapa Peninsula, HI
8,-159.3361,21.9558,Nawiliwili Lighthouse, Lihue, HI
9,-156.00107,19.63784,Minor light of Hawai'i - Kailua Lighthouse,,
10,-155.83287,20.04145,Minor light of Hawai'i - Kawaihae Lighthouse,,
11,-156.06125,19.72794,Minor light of Hawai'i - Keahole Point Lighthouse,,
12,-155.556,20.12793,Minor light of Hawai'i - Kukuihaele Lighthouse,,
13,-155.24051,19.99379,Minor light of Hawai'i - Laupahoehoe Point Lighthouse,,
14,-155.90151,20.18034,Minor light of Hawai'i - Mahukona Lighthouse,,
15,-155.0899,19.76224,Minor light of Hawai'i - Pauka'a Point Lighthouse,,
16,-155.0828,19.84729,Minor light of Hawai'i - Pepe'ekeo Point Lighthouse,,
17,-155.08621,19.72689,Minor light of Hawai'i - Coconut Point Lighthouse,,
18,-155.68191,18.91224,Minor light of Hawai'i - Ka Lae Lighthouse,,
19,-155.93601,19.47917,Minor Light of Hawai'i - Napo'opo'o Lighthouse,,
20,-156.6664,20.5019,Minor light of Kaho'olawe - Kaho'olawe Southwest Point Lighthouse ,,
21,-159.60432,21.89293,Minor light of Kaua'i - Hanapepe Lighthouse,,
22,-159.29556,22.14684,Minor light of Kaua'i - Kahala Point Lighthouse,,
23,-159.34791,21.95658,Minor light of Kaua'i - Kuki'i Point Lighthouse,,
24,-159.44421,21.86891,Minor light of Kaua'i - Makahu'ena Point Lighthouse,,
25,-156.99162,20.7833,Minor light of Lana'i - Kaumalapau Lighthouse,,
26,-156.8866,20.7417,Minor light of Lana'i - Manele Bay Lighthouse,,
27,-156.96496,20.73239,Minor light of Lana'i - Palaoa Point Lighthouse,,
28,-156.98768,20.92907,Minor light of Lana'i - Pohakuloa Point Lighthouse ,,
29,-156.4117,20.5836,Minor light of Maui - Hanamanioa Lighthouse ,,
30,-156.66622,21.004,Minor light of Maui - Hawea Point Lighthouse ,,
31,-156.4717,20.89,Minor light of Maui - Kahului Harbor Range Lighthouse ,,
32,-155.97901,20.75726,Minor light of Maui - Ka'uiki Head Lighthouse ,,
33,-156.5233,20.7767,Minor light of Maui - McGregor Point Lighthouse ,,
34,-156.49732,20.63077,Minor light of Maui - Molokini Lighthouse ,,
35,-156.5899,21.0284,Minor light of Maui - Nakalele Lighthouse ,,
36,-156.32143,20.94599,Minor light of Maui - Pa'uwela Point Lighthouse ,,
37,-157.866,21.30708,Minor light of Oahu - Aloha Tower Lighthouse ,,
38,-158.2794,21.57429,Minor light of Oahu - Ka'ena Point Lighthouse ,,
39,-157.76354,21.46226,Minor light of Oahu - Pyramid Rock Lighthouse ,,
