,Lat,Lon,Name,Location,State
0,-88.8718,30.0483,Chandeleur Island Light, Chandeleur Islands,  LA
1,-90.1133,30.0268,New Canal Lighthouse, Lake Pontchartrain,  LA
2,-89.03706,29.19014,Pass A L'Outre Light, Mississippi River Delta,  LA
3,-90.2982,30.2967,Pass Manchac Light, Lake Pontchartrain,  LA
4,-90.0624,30.0318,Port Pontchartrain Lighthouse, New Orleans,  LA
5,-93.8502,29.7166,Sabine Pass Light, Sabine Pass,  LA
6,-91.0667,28.9167,Ship Shoal Lighthouse, Gulf of Mexico,  LA
7,-89.167,29.0152,South Pass Lighthouse, South Pass,  LA
8,-89.391,28.985,Southwest Pass (1839) Light, Mississippi River Delta,  LA
9,-89.389,28.971,Southwest Pass (1871) Light, Mississippi River Delta,  LA
10,-89.435,28.907,Southwest Pass Entrance Lighthouse, Mississippi River Delta,  LA
11,-91.21619,29.69412,Southwest Reef Lighthouse, Berwick,  LA
12,-90.1692,30.3799,Tchefunte River Light, Madisonville,  LA
13,-89.7432,30.1745,West Rigolets Lighthouse, Lake Pontchartrain,  LA
