,Lat,Lon,Name,Location,State
0,-76.399,39.0592,Baltimore Harbor Light, Chesapeake Bay,  MD
1,-75.8095,39.5273,Bethel Bridge Light, Chesapeake City,  MD
2,-76.742886,38.208833,Blackistone Lighthouse, St Clement's Island, MD
3,-76.3914,38.8332,Bloody Point Bar Light, Kent Island,  MD
4,-76.6086,39.2857,Chesapeake Lightship, Baltimore's Inner Harbor,  MD
5,-76.0847,39.5408,Concord Point Light, Havre de Grace,  MD
6,-76.3818,38.3861,Cove Point Lighthouse, Cove Point,  MD
7,-76.3822,39.2032,Craighill Channel Lower Front Lighthouse, North Point State Park,  MD
8,-76.3942,39.2291,Craighill Channel Lower Rear Light, Ramona Beach,  MD
9,-76.4482,39.1972,Craighill Channel Upper Front Light, Fort Howard,  MD
10,-76.4628,39.2163,Craighill Channel Upper Rear Light, Bay Front Road,  MD
11,-76.4634,38.331,Drum Point Lighthouse, Solomons,  MD
12,-76.083,39.4945,Fishing Battery Lighthouse, Fishing Battery Island,  MD
13,-76.5195,39.2147,Fort Carroll Light, Patapsco River,  MD
14,-77.0368,38.7123,Fort Washington Light, Fort Washington,  MD
15,-76.2499,38.2564,Hooper Island Light, Chesapeake Bay,  MD
16,-76.2186,38.788,Hooper Strait Lighthouse, St. Michaels,  MD
17,-76.5715,39.262,Lazaretto Point Light, Fort McHenry,  MD
18,-76.5296,38.1354,Piney Point Light, Piney Point,  MD
19,-76.3224,38.0381,Point Lookout Lighthouse, Point Lookout State Park,  MD
20,-76.29,38.1283,Point No Point Lighthouse, Chesapeake Bay,  MD
21,-76.2699,39.2792,Poole's Island Light, Pooles Island,  MD
22,-76.385,39.0167,Sandy Point Shoals Lighthouse, Chesapeake Bay,  MD
23,-76.6054,39.2836,Seven Foot Knoll Lighthouse, Baltimore's Inner Harbor,  MD
24,-76.3749,38.6382,Sharps Island Light, Tilghman Island,  MD
25,-76.0151,38.0484,Solomon's Lump Light, Charter boat out of Wenona,  MD
26,-76.436,38.8991,Thomas Point Shoals Lighthouse, Thomas Point,  MD
27,-76.0085,39.4498,Turkey Point Light, Elk Neck State Park,  MD
