,Lat,Lon,Name,Location,State
0,-124.3754,43.3415,Cape Arago Lighthouse, Chief's Island,  OR
1,-124.5628,42.8373,Cape Blanco Lighthouse, Port Orford,  OR
2,-123.9781,45.4864,Cape Mears Light , Cape Meares State Scenic Viewpoint,  OR
3,-124.1119,44.2816,Cleft of the Rock (Cape Perpetual) Light, Yachats,  OR
4,-124.4234,43.1222,Coquille River (Bandon) Lighthouse, Bandon,  OR
5,-124.1284,44.1373,Heceta Head Lighthouse, Heceta Head Lighthouse State Scenic Viewpoint,  OR
6,-123.8242,46.1904,Lightship Columbia, Astoria,  OR
7,-124.01933,45.9375,Tillamook Head Lighthouse, Tillamook Rock,  OR
8,-124.1984,43.6615,Umpqua River Lighthouse, Umpqua River State Park,  OR
9,-122.7884,45.8484,Warrior Rock Light, Sauvie Island,  OR
10,-124.063,44.624,Yaquina Bay Lighthouse, Newport,  OR
11,-124.08,44.6767,Yaquina Head Lighthouse, Agate Beach,  OR
