,Lon,Lat,Name,Location,State
0,-80.6183,24.85167,Alligator Reef Lighthouse, Alligator Reef,  FL
1,-81.442,30.673,Amelia Island Lighthouse, Fernandina Beach, FL
2,-81.52,24.525,American Shoal Lighthouse, American Shoals, FL
3,-82.8458,28.168,Anclote Key Lighthouse, Anclote Key, FL
4,-82.2635,26.7419,Boca Grande Entrance Rear Range Light, Gasparilla Island, FL
5,-80.156,25.6666,Cape Florida Lighthouse, Key Biscayne, FL
6,-80.5435,28.4602,Cape Canaveral Lighthouse, Cape Canaveral, FL
7,-85.3564,29.671,Cape San Blas Lighthouse, Cape San Blas, FL
8,-85.04685,29.5878,Cape St. George Lighthouse, Little St.George Island, FL
9,-84.86284,29.66316,Cape St. George Lighthouse,  St.George Island, FL
10,-80.21167,25.22167,Carysfort Reef Lighthouse, Carysfort Reef, FL
11,-83.06533,29.09648,Cedar Keys(Seahorse Key) Lighthouse, Seahorse Key, FL
12,-84.7013,29.8272,Crooked River Light, Carabelle Beach, FL
13,-82.9209,24.6305,Dry Tortugas(Loggerhead Key) Lighthouse, Loggerhead Key, FL
14,-82.7607,27.6003,Egmont Key Lighthouse, Egmont Key, FL
15,-80.0965,25.5899,Fowery Rocks Lighthouse, Fowery Rocks, FL
16,-82.8729,24.6279,Garden Key (Ft. Jefferson) Lighthouse, Fort Jefferson, FL
17,-80.0808,26.2591,Hillsboro Inlet Lighthouse, Pompano Beach, FL
18,-80.0817,26.9484,Jupiter Inlet Lighthouse, Jupiter, FL
19,-80.4349,25.0872,Key Largo Lighthouse, Key Largo, FL
20,-81.8007,24.5506,Key West Lighthouse, Key West, FL
21,-87.3084,30.3458,Pensacola Lighthouse, Pensacola, FL
22,-80.9281,29.0803,Ponce de Leon Inlet Lighthouse,Ponce Inlet, FL
23,-82.2608,26.7173,Port Boca Grande(Gasparilla Island) Lighthouse, Port Boca Grande,  FL
24,-81.8755,24.4534,Sand Key Lighthouse, Sand Key, FL
25,-82.0141,26.45271,Sanibel Island Lighthouse, Sanibel Island, FL
26,-81.111,24.6278,Sombrero Key Lighthouse, Sombrero Key, FL
27,-81.28877,29.88548,St. Augustine Lighthouse, St. Augustine Beach, FL
28,-81.3981,30.3861,St. Johns Lighthouse, Mayport, FL
29,-81.4259,30.3935,St. Johns River Lighthouse, Mayport, FL
30,-85.303,29.7603,St. Joseph Point Lighthouse, Port St. Joe, FL
31,-84.179,30.0739,St. Marks Lighthouse, St Marks, FL
