,Lon,Lat,Name,Location,State
0,-80.8723,32.0968,Bloody Point Front Range Light, Dafuskie Island,  SC
1,-79.3739,33.01872,Cape Romain Lighthouse, Cape Romain National Wildlife Refuge,  SC
2,-79.185,33.2233,Georgetown Lighthouse, North Island, SC
3,-80.8366,32.145,Haig Point(Daufuskie Island) Lighthouse, Daufuskie Island,  SC
4,-80.81238,32.13898,Harbour Town Light, Hilton Head Island, SC
5,-80.7398,32.1644,Hilton Head Rear Range Light, Hilton Head Island,  SC
6,-80.43829,32.37499,Hunting Island Lighthouse, Hunting Island State Park,  SC
7,-79.883,32.6895,Morris Island Lighthouse, Folley Island, SC
8,-80.6774,32.3129,Parris Island Light, Marine Corps Recruit Depot, Parris Island
9,-79.8429,32.7578,Sullivans Island Lighthouse, Sullivan's Island, SC
