href,name,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Henry_Abbey,Henry Abbey,"Rondout, New York",,-73.9851381,41.920648,0,0
https://en.wikipedia.org/wiki/Arthur_Talmage_Abernethy,Arthur Talmage Abernethy,,,0,0,0,0
https://en.wikipedia.org/wiki/Sam_Abrams,Sam Abrams,,,0,0,0,0
https://en.wikipedia.org/wiki/Seth_Abramson,Seth Abramson,,,0,0,0,0
https://en.wikipedia.org/wiki/Diane_Ackerman,Diane Ackerman,,,0,0,0,0
https://en.wikipedia.org/wiki/Duane_Ackerson,Duane Ackerson,New York City,"Salem, Oregon",-74.0060152,40.7127281,-123.033121,44.9391565
https://en.wikipedia.org/wiki/Mercedes_de_Acosta,Mercedes de Acosta,,,0,0,0,0
https://en.wikipedia.org/wiki/Virginia_Hamilton_Adair,Virginia Hamilton Adair,,,0,0,0,0
https://en.wikipedia.org/wiki/Helen_Adam,Helen Adam,Glasgow,New York City,-4.2501687,55.861155,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/John_Adams_(poet),John Adams (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/L%C3%A9onie_Adams,Léonie Adams,,,0,0,0,0
https://en.wikipedia.org/wiki/Kim_Addonizio,Kim Addonizio,"Washington, D.C.",,-77.0365427,38.8950368,0,0
https://en.wikipedia.org/wiki/James_Agee,James Agee,,,0,0,0,0
https://en.wikipedia.org/wiki/Deborah_Ager,Deborah Ager,,,0,0,0,0
https://en.wikipedia.org/wiki/Kelli_Russell_Agodon,Kelli Russell Agodon,,,0,0,0,0
https://en.wikipedia.org/wiki/Julie_Agoos,Julie Agoos,,,0,0,0,0
https://en.wikipedia.org/wiki/Ai_(poet),Ai (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Conrad_Aiken,Conrad Aiken,,,0,0,0,0
https://en.wikipedia.org/wiki/Ammiel_Alcalay,Ammiel Alcalay,,,0,0,0,0
https://en.wikipedia.org/wiki/Amos_Bronson_Alcott,Amos Bronson Alcott,"Wolcott, Connecticut","Boston, Massachusetts",-72.9867718,41.6023196,-71.060511,42.3554334
https://en.wikipedia.org/wiki/Louisa_May_Alcott,Louisa May Alcott,,,0,0,0,0
