lon,lat,park_name,type,phone,emenities,state,city
-113.579,34.231,Alamo Lake State Park,SP,928.669.2088,E DP 35ft FT DW SH RS ,AZ,Wenden
-109.153,33.895,Alpine Divide,NF,928.339.4384/928.333.4301,NH ND 24ft VT DW NS NR L$ ,AZ,Alpine
-112.561,34.589,Alto Pit,NF,928.443.8000/928.443.8210,NH ND VT NW NS NR ,AZ,Prescott
-109.819,32.649,Arcadia,NF,928.428.4150/520.388.8300,NH ND 22ft VT DW NS NR L$ ,AZ,Safford
-111.409,35.018,Ashurst Lake,NF,928.774.1147/928.527.3600,NH ND 22ft VT DW NS NR N$ ,AZ,Flagstaff
-110.946,34.327,Aspen,NF,928.537.8888/928.333.4301,NH ND 32ft VT DW NS NR ,AZ,Payson
-109.314,33.807,Aspen,NF,928.339.4384/928.333.4301,NH DP 25ft VT DW NS RS PA L$ ,AZ,
-111.204,33.714,Bachelors Cove,NF,928.467.3201/602.225.5201,NH ND VT NW NS NR ,AZ,Roosevelt
-111.639,33.84,Bartlett Flat,NF,928.474.7901/602.225.5201,NH ND VT NW NS NR ,AZ,Carefree
-109.307,31.781,Bathtub,NF,520.364.3468/520.388.8300,NH NR ,AZ,Elfrida
-111.714,34.67,Beaver Creek,NF,928.203.7501/928.527.3600,NH ND 22ft VT DW NS NR ,AZ,Camp Verde
-109.449,34.044,Benny Creek,NF,928.333.4372/928.333.4301,NH DP 24ft VT DW NS NR L$ ,AZ,Eagar
-111.226,33.746,Bermuda Flat,NF,928.467.3201/602.225.5201,NH ND 32ft PT NW NS NR ,AZ,Roosevelt
-110.743,34.305,Black Canyon Rim,NF,928.537.8888/928.333.4301,NH ND 16ft VT DW NS NR ,AZ,Forest Lakes
-109.08,33.057,Black Jack,NF,928.687.1301/928.333.4301,NH ND VT NW NS NR N$ ,AZ,Clifton
-111.201,34.591,Blue Ridge,NF,928.477.5001/928.527.3600,NH ND 32ft VT DW NS NR L$ ,AZ,Winslow
-110.876,31.727,Bog Springs,NF,520.281.2296/520.388.8300,NH ND 22ft VT DW NS NR L$ ,AZ,Green Valley
-109.355,32.011,Bonita Canyon - Chiricahua National Monument,NP,520.824.3560,NH ND 29ft FT DW NS NR ,AZ,Willcox
-109.576,33.065,Bonito,NF,928.526.8231/928.527.3600,NH ND 42ft FT DW NS NR ,AZ,
-111.556,35.372,Bonito - Sunset Crater National Monument,NP,520.526.0866,NH ND 35ft FT DW NS NR ,AZ,Flagstaff
-111.75,34.969,Bootlegger,NF,928.203.7501/928.527.3600,VT NW NR ,AZ,Sedona
-109.918,34.071,Bootlegger,NF, ,NH ND VT DW NS NR ,AZ,
-111.66,33.74,Box Bar,NF,480.595.3301/602.225.5201,NH ND VT NS NR ,AZ,Scottsdale
-109.413,33.876,Brookchar,NF,928.333.4372/928.333.4301,NH DP FT DW SH RS PA ,AZ,Eagar
-114.161,34.254,Buckskin State Park,SP,928.667.3231,E DP 35ft FT DW SH RS ,AZ,Parker
-109.355,33.768,Buffalo Crossing,NF,928.339.4384/928.333.4301,NH ND 20ft VT DW NS NR L$ ,AZ,Alpine
-111.203,33.626,Burnt Corral,NF,928.467.3201/602.225.5201,NH ND 22ft VT DW NS NR L$ ,AZ,Roosevelt
-110.823,34.32,Canyon Point,NF,928.537.8888/928.333.4301,E DP 75ft VT DW SH RS PA ,AZ,
-111.599,35.125,Canyon Vista,NF,928.774.1147/928.527.3600,NH ND 22ft VT DW NS NR ,AZ,Flagstaff
-110.938,32.416,Catalina State Park,SP,520.628.5798,E DP 35ft FT DW SH RS ,AZ,Tucson
-114.171,34.354,Cattail Cove State Park,SP,928.855.1223,E DP 35ft FT DW SH RS ,AZ,Lake Havasu City
-111.74,34.996,Cave Springs,NF,928.203.7501/928.527.3600,NH ND 36ft VT DW NS RS ,AZ,
-111.865,33.971,CCC,NF,480.595.3301/602.225.5201,NH ND 16ft VT DW NS NR N$ ,AZ,Carefree
-110.841,34.509,Chevelon Canyon Lake,NF,928.537.8888/928.333.4301,NH ND VT NW NS NR N$ ,AZ,Heber
-110.788,34.591,Chevelon Crossing,NF,928.537.8888/928.333.4301,NH ND 25ft VT NW NS NR N$ ,AZ,Heber
-111.702,34.353,Childs,NF,928.203.7501/928.527.3600,NH ND NS NR N$ ,AZ,
-111.203,33.732,Cholla,NF,928.467.3201/602.225.5201,NH ND 32ft DW SH NR L$ ,AZ,Roosevelt
-111.205,33.719,Cholla Bay,NF,928.467.3201/602.225.5201,NH ND 35ft FT DW NS NR ,AZ,Roosevelt
-111.035,34.308,Christopher Creek,NF,928.474.7901/602.225.5201,NH ND 45ft VT DW NS RS ,AZ,Payson
-111.765,34.515,Clear Creek,NF,928.203.7501/928.527.3600,NH ND 32ft VT NW NS NR ,AZ,Camp Verde
-111.315,34.555,Clints Well,NF,928.477.5001/928.527.3600,NH VT NW NR N$ ,AZ,Happy Jack
-109.06,33.103,Coal Creek,NF,928.687.1301/928.333.4301,NH ND 16ft PT NW NS NR N$ ,AZ,Clifton
-109.967,31.922,Cochise Stronghold,NF,520.364.3468/520.388.8300,NH ND 22ft VT NW NS NR L$ ,AZ,Sunsites
-111.646,33.547,Coon Bluff,NF,480.610.3301/602.225.5201,NH ND 35ft VT NW NS NR L$ ,AZ,Mesa
-111.253,33.577,Crabtree Wash,NF,928.467.3201/602.225.5201,NR ,AZ,Apache Junction
-110.942,34.318,Crook,NF,928.537.8888/928.333.4301,NH DP 32ft VT DW NS NR ,AZ,Forest Lakes
-109.891,32.68,Cunningham,NF,928.428.4150/520.388.8300,NH ND 22ft VT NW NS NR L$ ,AZ,Safford
-109.418,33.872,Cutthroat,NF,928.333.4372/928.333.4301,NH DP VT DW SH RS PA ,AZ,Eagar
-109.313,31.774,Cypress Park,NF,520.364.3468/520.388.8300,NH ND 16ft VT NW NS NR L$ ,AZ,Douglas
-111.485,34.956,Dairy Springs,NF,928.774.1147/928.527.3600,NH ND 35ft VT DW NS RS PA ,AZ,Mormon Lake
-111.222,33.594,Davis Wash,NF,928.467.3201/602.225.5201,NR ,AZ,Apache Junction
-112.135,36.412,De Motte,NF,928.643.8130/928.635.8200,NH ND 22ft VT DW NS NR ,AZ,Jacob Lake
-112.019,34.754,Dead Horse Ranch State Park,SP,928.634.5283,E DP 65ft FT DW SH RS L$ ,AZ,Cottonwood
-109.32,33.804,Deer Creek,NF,928.339.4384/928.333.4301,NH ND VT DW NS NR L$ ,AZ,Alpine
-111.823,36.039,Desert View - Grand Canyon National Park,NP,928.638.7888,NH ND 30ft FT DW NS NR ,AZ,Grand Canyon
-109.3,33.819,Diamond Rock,NF,928.339.4384/928.333.4301,NH ND 10ft VT DW NS NR L$ ,AZ,Alpine
